22:45:32.688 | Info | '/transaction/gettour' | 
22:55:43.716 | Info | '/transaction/gettour' | 
22:57:32.773 | Info | '/transaction/gettransport' | 
22:57:40.715 | Info | '/transaction/gettransport' | 
23:01:59.208 | Info | '/transaction/gettransport' | 
23:03:25.547 | Info | '/transaction/gettransport' | 
23:05:13.070 | Info | '/transaction/gettransport' | 
23:06:38.756 | Info | '/transaction/gettransport' | 
23:19:21.832 | Info | '/transaction/gettransport' | 
23:21:48.308 | Info | '/transaction/gettransport' | 
23:25:14.875 | Info | '/transaction/gettransport' | 
23:31:57.305 | Info | '/transaction/gettransport' | 
23:33:22.650 | Info | '/transaction/gettransport' | 
23:34:56.769 | Info | '/transaction/gettransport' | 
23:35:01.237 | Info | '/transaction/gettour' | 
23:36:14.688 | Info | '/transaction/gettour' | 
23:36:36.254 | Info | '/transaction/gettour' | 
23:36:44.217 | Info | '/transaction/gettour' | 
23:36:47.719 | Info | '/transaction/gettransport' | 
23:36:50.360 | Info | '/transaction/gettransport' | 
23:36:53.013 | Info | '/transaction/gettour' | 
23:45:03.141 | Info | '/transaction/gethotels' | 
23:48:10.606 | Info | '/transaction/gethotels' | 
23:48:17.115 | Info | '/transaction/gethotels' | 
23:48:25.727 | Info | '/transaction/gethotels' | 
23:48:29.927 | Info | '/transaction/gethotels' | 
23:48:57.828 | Info | '/transaction/gethotels' | 
23:49:03.757 | Info | '/transaction/gethotels' | 
23:49:27.724 | Info | '/transaction/gethotels' | 
23:49:36.747 | Info | '/transaction/gethotels' | 
23:49:43.745 | Info | '/transaction/gethotels' | 
23:49:51.718 | Info | '/transaction/gethotels' | 
23:43:42.009 | Info | '/transaction/createannouncement' | 
23:47:04.747 | Info | '/transaction/createannouncement' | 
23:50:17.509 | Info | '/transaction/createannouncement' | 
23:50:20.291 | Info | '/transaction/createannouncement' | 
23:50:46.320 | Info | '/api/user/login' | 
23:50:57.445 | Info | '/api/user/login' | 
23:51:09.119 | Info | '/transaction/createannouncement' | 
